================================================================================
Viral Identification Comprehensive Analysis Report - MEGAHIT Assembly Results
VirSorter2 + DeepVirFinder
================================================================================

[Overall Statistics]
--------------------------------------------------------------------------------
VirSorter2 identified viral sequences:    1,600
DeepVirFinder identified viral sequences: 48,283
Consensus viral sequences (both tools):   1,600
VirSorter2 only:                          0
DeepVirFinder only:                       46,683

DeepVirFinder significant sequences (p<0.05): 2,241


[Consensus Viral Sequences (High Confidence)]
--------------------------------------------------------------------------------
Sequence Name                            VS2 Score    DVF Score    DVF P-value 
k141_104985                              0.933        0.006        3.81e-01    
k141_105041                              0.593        0.991        7.12e-03    
k141_105077                              0.607        0.165        1.59e-01    
k141_105311                              0.960        0.000        6.30e-01    
k141_105390                              0.907        0.000        7.79e-01    
k141_105457                              0.560        0.126        1.76e-01    
k141_105507                              0.927        0.234        1.37e-01    
k141_105681                              0.853        0.004        4.01e-01    
k141_105967                              1.000        0.000        9.60e-01    
k141_105969                              1.000        0.019        2.98e-01    
k141_106019                              0.833        0.000        5.80e-01    
k141_106516                              0.807        0.005        3.86e-01    
k141_106674                              0.947        0.555        4.77e-02    
k141_106770                              nan          0.328        1.13e-01    
k141_106789                              0.793        0.026        2.76e-01    
k141_106856                              0.953        0.996        5.84e-03    
k141_107395                              0.967        0.022        2.88e-01    
k141_107460                              0.507        0.023        2.86e-01    
k141_107584                              0.660        0.007        3.72e-01    
k141_107607                              0.847        0.990        7.31e-03    
k141_107635                              0.747        0.007        3.70e-01    
k141_107672                              0.947        0.182        1.53e-01    
k141_107683                              0.587        0.000        8.98e-01    
k141_107755                              0.967        0.006        3.80e-01    
k141_10789                               0.773        0.410        9.37e-02    
k141_108037                              0.987        0.927        1.58e-02    
k141_108121                              0.933        0.000        7.79e-01    
k141_108330                              0.687        0.001        4.81e-01    
k141_10843                               0.700        0.545        4.98e-02    
k141_108531                              0.933        0.076        2.07e-01    
k141_108654                              1.000        0.101        1.89e-01    
k141_108724                              0.987        0.002        4.76e-01    
k141_108744                              0.960        0.452        8.29e-02    
k141_108804                              0.827        0.000        7.53e-01    
k141_109127                              0.507        0.000        6.94e-01    
k141_109164                              0.720        0.000        6.04e-01    
k141_109312                              0.940        0.013        3.23e-01    
k141_109363                              0.887        0.883        1.90e-02    
k141_109446                              0.993        0.010        3.43e-01    
k141_10945                               0.567        0.041        2.47e-01    
k141_109495                              nan          0.554        4.79e-02    
k141_109708                              0.967        0.000        6.10e-01    
k141_109728                              0.680        0.419        9.20e-02    
k141_109749                              0.973        0.870        2.02e-02    
k141_109771                              0.553        0.001        5.48e-01    
k141_109785                              0.620        0.000        9.04e-01    
k141_110101                              0.760        0.018        3.01e-01    
k141_110192                              0.953        0.135        1.71e-01    
k141_110373                              0.993        0.968        1.12e-02    
k141_110686                              0.667        0.005        3.93e-01    
k141_110873                              nan          0.001        5.50e-01    
k141_110970                              0.600        0.263        1.29e-01    
k141_110971                              0.833        0.737        3.00e-02    
k141_111087                              0.527        0.566        4.63e-02    
k141_111117                              0.987        0.590        4.35e-02    
k141_111141                              0.500        0.000        8.97e-01    
k141_111320                              0.993        0.617        4.04e-02    
k141_11138                               0.907        0.000        8.78e-01    
k141_111485                              0.727        0.283        1.24e-01    
k141_111534                              0.853        0.112        1.83e-01    
k141_111559                              0.553        0.586        4.39e-02    
k141_111588                              nan          0.000        7.84e-01    
k141_111687                              0.840        0.034        2.59e-01    
k141_111900                              0.760        0.000        6.01e-01    
k141_111996                              0.940        0.063        2.19e-01    
k141_11208                               0.533        0.000        7.50e-01    
k141_112152                              0.947        0.966        1.15e-02    
k141_112464                              0.587        0.003        4.19e-01    
k141_112673                              0.600        0.017        3.08e-01    
k141_112812                              0.960        0.000        7.28e-01    
k141_11323                               0.660        0.902        1.75e-02    
k141_113298                              0.967        0.138        1.70e-01    
k141_113483                              0.740        0.197        1.48e-01    
k141_113549                              0.660        0.212        1.43e-01    
k141_113765                              0.987        0.179        1.54e-01    
k141_113767                              nan          0.000        6.26e-01    
k141_113796                              0.993        0.430        8.91e-02    
k141_113868                              0.640        0.013        3.25e-01    
k141_113880                              0.980        0.000        5.56e-01    
k141_113899                              0.993        0.070        2.13e-01    
k141_113997                              0.740        0.247        1.33e-01    
k141_11423                               0.533        0.034        2.60e-01    
k141_11424                               0.767        0.000        7.36e-01    
k141_114253                              0.993        0.995        6.02e-03    
k141_114313                              0.553        0.126        1.75e-01    
k141_114393                              0.893        0.012        3.28e-01    
k141_114512                              0.807        0.363        1.05e-01    
k141_114887                              0.993        0.037        2.55e-01    
k141_114920                              0.700        0.031        2.67e-01    
k141_115021                              nan          0.913        1.68e-02    
k141_115507                              0.833        0.000        6.57e-01    
k141_115550                              0.620        0.000        5.96e-01    
k141_115649                              0.847        0.000        5.87e-01    
k141_116035                              0.807        0.158        1.61e-01    
k141_11614                               0.533        0.000        6.83e-01    
k141_116146                              0.907        0.001        4.89e-01    
k141_116227                              0.880        0.937        1.50e-02    
k141_116431                              nan          0.934        1.53e-02    
k141_1165                                0.567        0.000        9.35e-01    
k141_116549                              nan          0.000        9.31e-01    
k141_116874                              nan          0.005        4.00e-01    
k141_116885                              1.000        0.077        2.06e-01    
k141_117019                              0.693        0.001        5.17e-01    
k141_117253                              0.713        0.153        1.63e-01    
k141_117437                              0.987        0.029        2.71e-01    
k141_117439                              0.573        0.006        3.79e-01    
k141_117496                              0.573        0.457        8.18e-02    
k141_117807                              0.667        0.005        3.94e-01    
k141_117901                              0.500        0.001        4.95e-01    
k141_117951                              0.993        0.001        4.90e-01    
k141_118133                              0.840        0.002        4.50e-01    
k141_11821                               0.793        0.001        5.04e-01    
k141_118364                              0.967        0.485        7.16e-02    
k141_118385                              0.813        0.498        6.45e-02    
k141_118432                              0.553        0.000        7.22e-01    
k141_118500                              nan          0.066        2.16e-01    
k141_118595                              0.747        0.112        1.83e-01    
k141_118738                              0.967        0.042        2.46e-01    
k141_11877                               0.907        0.219        1.41e-01    
k141_118816                              0.947        0.104        1.87e-01    
k141_118907                              0.573        0.646        3.75e-02    
k141_118958                              0.707        0.962        1.21e-02    
k141_119030                              0.673        0.029        2.71e-01    
k141_119031                              1.000        0.989        7.57e-03    
k141_119077                              nan          0.000        9.28e-01    
k141_119116                              1.000        0.013        3.25e-01    
k141_119187                              0.980        0.405        9.51e-02    
k141_119243                              0.567        0.073        2.10e-01    
k141_119254                              0.813        0.011        3.34e-01    
k141_119402                              0.940        0.266        1.28e-01    
k141_119677                              0.967        0.011        3.38e-01    
k141_119731                              0.867        0.144        1.67e-01    
k141_119750                              0.887        0.260        1.30e-01    
k141_119988                              0.993        0.407        9.45e-02    
k141_119999                              0.827        0.000        7.86e-01    
k141_120127                              0.980        0.941        1.48e-02    
k141_120269                              0.947        0.062        2.20e-01    
k141_120290                              0.520        0.000        6.76e-01    
k141_120342                              0.727        0.144        1.68e-01    
k141_1205                                0.960        0.000        8.73e-01    
k141_120715                              0.507        0.119        1.79e-01    
k141_120778                              0.633        0.342        1.10e-01    
k141_120891                              0.827        0.693        3.37e-02    
k141_120964                              0.800        0.405        9.51e-02    
k141_121005                              0.980        0.049        2.35e-01    
k141_121029                              0.973        0.000        9.83e-01    
k141_121291                              nan          0.547        4.94e-02    
k141_121358                              0.640        0.355        1.07e-01    
k141_121408                              0.980        0.422        9.15e-02    
k141_121448                              0.673        0.596        4.29e-02    
k141_121458                              1.000        0.000        7.51e-01    
k141_121504                              0.613        0.095        1.92e-01    
k141_12161                               0.860        0.206        1.45e-01    
k141_121673                              0.940        0.005        3.87e-01    
k141_121709                              1.000        0.734        3.03e-02    
k141_121857                              0.767        0.025        2.80e-01    
k141_12206                               0.840        0.000        9.23e-01    
k141_122240                              0.847        0.000        7.85e-01    
k141_122296                              0.507        0.994        6.46e-03    
k141_1223                                0.680        0.004        4.07e-01    
k141_122343                              0.800        0.384        1.00e-01    
k141_122416                              0.753        0.008        3.60e-01    
k141_122434                              0.967        0.785        2.66e-02    
k141_122486                              1.000        0.859        2.09e-02    
k141_122503                              0.687        0.013        3.22e-01    
k141_122565                              0.500        0.000        6.99e-01    
k141_122566                              0.867        0.385        1.00e-01    
k141_122832                              0.973        0.001        5.48e-01    
k141_122951                              0.507        0.006        3.74e-01    
k141_123005                              0.533        0.252        1.32e-01    
k141_123017                              0.947        0.000        5.73e-01    
k141_12303                               0.727        0.023        2.85e-01    
k141_123032                              1.000        0.003        4.22e-01    
k141_123156                              0.980        0.000        7.04e-01    
k141_123397                              0.560        0.002        4.75e-01    
k141_123424                              0.800        0.389        9.91e-02    
k141_123620                              nan          0.310        1.17e-01    
k141_123937                              0.993        0.000        6.30e-01    
k141_124071                              0.987        0.281        1.24e-01    
k141_124293                              0.587        0.000        6.80e-01    
k141_124401                              0.673        0.840        2.23e-02    
k141_124607                              0.960        0.197        1.48e-01    
k141_12461                               0.580        0.423        9.12e-02    
k141_124871                              0.987        0.500        6.26e-02    
k141_125386                              0.513        0.000        9.31e-01    
k141_125394                              0.793        0.450        8.33e-02    
k141_12553                               0.953        0.001        4.96e-01    
k141_125559                              nan          0.002        4.57e-01    
k141_125699                              0.947        0.000        6.80e-01    
k141_125701                              0.980        0.714        3.20e-02    
k141_125781                              0.960        0.039        2.51e-01    
k141_125863                              0.967        0.493        6.77e-02    
k141_125877                              0.500        0.000        9.37e-01    
k141_125910                              0.780        0.000        6.01e-01    
k141_126055                              0.793        0.016        3.09e-01    
k141_126119                              0.613        0.094        1.93e-01    
k141_126205                              0.987        0.039        2.51e-01    
k141_126230                              0.520        0.000        5.56e-01    
k141_126314                              0.960        0.197        1.48e-01    
k141_126411                              0.700        0.000        6.34e-01    
k141_126433                              0.713        0.082        2.02e-01    
k141_126478                              nan          0.760        2.87e-02    
k141_126702                              0.980        0.441        8.61e-02    
k141_126709                              0.887        0.994        6.59e-03    
k141_126741                              0.947        0.004        4.14e-01    
k141_126789                              0.780        0.017        3.05e-01    
k141_126855                              0.940        0.000        6.01e-01    
k141_12690                               0.807        0.008        3.57e-01    
k141_126922                              0.993        0.000        5.68e-01    
k141_127107                              0.967        0.563        4.65e-02    
k141_127189                              0.520        0.065        2.17e-01    
k141_12719                               0.507        0.180        1.54e-01    
k141_127384                              0.833        0.011        3.37e-01    
k141_127399                              0.920        0.000        8.77e-01    
k141_127542                              0.933        0.009        3.50e-01    
k141_127625                              1.000        0.310        1.17e-01    
k141_127810                              0.927        0.022        2.89e-01    
k141_127931                              0.953        0.004        4.05e-01    
k141_128245                              0.993        0.095        1.93e-01    
k141_128271                              0.547        0.040        2.49e-01    
k141_128329                              0.993        0.948        1.39e-02    
k141_128347                              0.953        0.172        1.56e-01    
k141_128670                              0.793        0.958        1.26e-02    
k141_128796                              0.960        0.001        5.34e-01    
k141_128860                              0.773        0.007        3.71e-01    
k141_128861                              0.573        0.000        9.21e-01    
k141_12954                               0.827        0.001        5.40e-01    
k141_129613                              0.993        0.070        2.13e-01    
k141_129674                              0.993        0.365        1.05e-01    
k141_129721                              0.947        0.055        2.29e-01    
k141_129755                              0.993        0.914        1.67e-02    
k141_12979                               0.713        0.001        4.86e-01    
k141_130098                              0.993        0.103        1.88e-01    
k141_130099                              0.993        0.003        4.34e-01    
k141_130165                              0.680        0.105        1.87e-01    
k141_130204                              0.533        0.464        7.96e-02    
k141_130250                              0.500        0.066        2.17e-01    
k141_130482                              0.947        0.879        1.93e-02    
k141_13057                               1.000        0.757        2.88e-02    
k141_130910                              0.593        0.013        3.23e-01    
k141_130949                              0.987        0.142        1.68e-01    
k141_131129                              1.000        0.376        1.02e-01    
k141_131279                              nan          0.869        2.02e-02    
k141_131346                              0.527        0.004        4.12e-01    
k141_131396                              0.567        0.418        9.22e-02    
k141_131463                              0.500        0.006        3.81e-01    
k141_131632                              0.507        0.000        9.49e-01    
k141_13170                               0.793        0.012        3.30e-01    
k141_131893                              0.533        0.003        4.22e-01    
k141_132004                              0.847        0.001        5.06e-01    
k141_132142                              0.900        0.001        5.20e-01    
k141_13228                               0.613        0.001        5.14e-01    
k141_132288                              1.000        0.068        2.14e-01    
k141_132369                              0.733        0.000        8.52e-01    
k141_13247                               nan          0.760        2.87e-02    
k141_132503                              0.993        0.332        1.12e-01    
k141_132533                              0.567        0.613        4.08e-02    
k141_132537                              0.580        0.082        2.02e-01    
k141_132557                              0.987        0.353        1.07e-01    
k141_132637                              0.813        0.000        9.38e-01    
k141_132864                              0.593        0.000        6.60e-01    
k141_132954                              0.960        0.075        2.08e-01    
k141_133024                              0.980        0.183        1.53e-01    
k141_133092                              0.793        0.785        2.66e-02    
k141_133206                              0.667        0.009        3.49e-01    
k141_133344                              0.993        0.000        9.39e-01    
k141_133375                              1.000        0.001        5.40e-01    
k141_133485                              0.853        0.000        7.07e-01    
k141_13353                               0.580        0.414        9.32e-02    
k141_133532                              0.773        0.362        1.05e-01    
k141_133570                              0.540        0.000        5.64e-01    
k141_133831                              1.000        0.500        6.23e-02    
k141_133838                              0.947        0.000        7.33e-01    
k141_133898                              1.000        0.093        1.94e-01    
k141_133950                              0.913        0.033        2.61e-01    
k141_133960                              1.000        0.001        5.27e-01    
k141_134136                              0.707        0.002        4.49e-01    
k141_134292                              nan          0.375        1.02e-01    
k141_134295                              0.953        0.001        4.83e-01    
k141_134405                              0.747        0.501        6.18e-02    
k141_13467                               1.000        0.003        4.27e-01    
k141_134770                              0.967        0.000        7.39e-01    
k141_134837                              0.593        0.000        9.62e-01    
k141_134891                              0.633        0.115        1.81e-01    
k141_135031                              0.767        0.003        4.30e-01    
k141_135153                              0.727        1.000        1.11e-03    
k141_135208                              1.000        0.000        7.49e-01    
k141_135395                              0.840        0.001        4.88e-01    
k141_135772                              0.967        1.000        1.78e-03    
k141_135832                              1.000        0.291        1.22e-01    
k141_135843                              0.993        0.079        2.05e-01    
k141_136254                              0.647        0.015        3.14e-01    
k141_136309                              0.993        0.999        3.51e-03    
k141_136520                              0.633        0.023        2.84e-01    
k141_136685                              0.847        0.026        2.76e-01    
k141_1368                                0.593        0.000        8.37e-01    
k141_136910                              1.000        0.114        1.82e-01    
k141_136912                              0.907        0.000        7.64e-01    
k141_136930                              1.000        0.002        4.58e-01    
k141_137096                              0.800        0.984        8.67e-03    
k141_137105                              1.000        0.404        9.53e-02    
k141_137260                              0.660        0.001        5.34e-01    
k141_13728                               0.527        0.840        2.22e-02    
k141_137417                              0.713        0.000        6.11e-01    
k141_137518                              0.940        0.002        4.59e-01    
k141_137670                              nan          0.003        4.37e-01    
k141_137745                              1.000        0.162        1.60e-01    
k141_137877                              0.887        0.001        4.90e-01    
k141_137923                              0.700        0.030        2.67e-01    
k141_138005                              0.733        0.000        7.80e-01    
k141_138018                              0.900        0.107        1.86e-01    
k141_138058                              0.753        0.222        1.40e-01    
k141_138071                              0.987        0.396        9.76e-02    
k141_138115                              0.987        0.181        1.53e-01    
k141_138349                              0.660        0.017        3.06e-01    
k141_138352                              0.813        0.320        1.14e-01    
k141_138422                              0.680        0.211        1.44e-01    
k141_138437                              0.927        0.869        2.02e-02    
k141_138592                              0.687        0.075        2.08e-01    
k141_13862                               0.680        0.000        7.46e-01    
k141_138897                              0.947        0.988        7.87e-03    
k141_139062                              0.867        0.000        8.35e-01    
k141_13916                               0.600        0.501        6.11e-02    
k141_139492                              0.520        0.031        2.66e-01    
k141_139524                              0.987        0.113        1.82e-01    
k141_139775                              0.793        0.157        1.62e-01    
k141_139900                              0.567        0.905        1.73e-02    
k141_13995                               0.593        0.003        4.24e-01    
k141_140080                              0.533        0.001        5.37e-01    
k141_140208                              0.933        0.158        1.62e-01    
k141_140450                              0.553        0.002        4.73e-01    
k141_140460                              0.733        0.024        2.82e-01    
k141_14050                               0.593        0.000        6.17e-01    
k141_140521                              0.620        0.449        8.38e-02    
k141_140599                              0.760        0.413        9.33e-02    
k141_140620                              0.993        0.263        1.29e-01    
k141_140632                              1.000        1.000        4.34e-04    
k141_140702                              0.880        0.362        1.05e-01    
k141_140734                              0.613        0.000        6.08e-01    
k141_14078                               nan          0.008        3.60e-01    
k141_141044                              0.607        0.000        5.69e-01    
k141_141208                              0.960        0.519        5.46e-02    
k141_141213                              0.993        0.032        2.64e-01    
k141_141356                              0.533        0.000        8.24e-01    
k141_14142                               0.847        0.000        6.46e-01    
k141_141430                              nan          0.724        3.11e-02    
k141_141551                              0.593        0.007        3.71e-01    
k141_141724                              0.707        0.427        9.00e-02    
k141_141731                              0.913        0.030        2.67e-01    
k141_141738                              0.933        0.032        2.63e-01    
k141_141746                              nan          0.389        9.91e-02    
k141_141800                              0.967        0.009        3.51e-01    
k141_141904                              0.753        0.000        5.65e-01    
k141_142239                              0.967        0.343        1.10e-01    
k141_142284                              0.907        0.000        6.25e-01    
k141_142313                              0.573        0.008        3.57e-01    
k141_142470                              0.973        0.670        3.56e-02    
k141_142554                              0.620        0.469        7.80e-02    
k141_142612                              0.727        0.000        8.46e-01    
k141_142700                              1.000        0.328        1.13e-01    
k141_142757                              0.787        0.009        3.52e-01    
k141_142811                              0.953        0.350        1.08e-01    
k141_142813                              0.987        0.024        2.82e-01    
k141_142854                              1.000        0.993        6.78e-03    
k141_142944                              0.507        0.003        4.25e-01    
k141_142961                              0.520        0.825        2.34e-02    
k141_143018                              0.960        0.000        1.00e+00    
k141_143415                              0.867        0.000        7.90e-01    
k141_143473                              0.733        0.000        8.63e-01    
k141_14369                               0.993        0.014        3.20e-01    
k141_143718                              0.993        0.716        3.17e-02    
k141_14375                               0.727        0.965        1.16e-02    
k141_143791                              0.507        0.011        3.39e-01    
k141_143869                              0.553        0.116        1.81e-01    
k141_143938                              0.887        0.000        8.68e-01    
k141_14401                               0.640        0.559        4.70e-02    
k141_144062                              0.760        0.218        1.41e-01    
k141_144170                              0.673        0.009        3.51e-01    
k141_1443                                0.967        0.120        1.79e-01    
k141_144324                              0.980        0.033        2.63e-01    
k141_144432                              0.760        0.033        2.62e-01    
k141_144632                              0.507        0.000        6.05e-01    
k141_144703                              0.973        0.666        3.59e-02    
k141_144748                              0.687        0.001        5.19e-01    
k141_144788                              0.673        0.018        3.03e-01    
k141_144810                              1.000        0.201        1.47e-01    
k141_144945                              1.000        0.441        8.61e-02    
k141_144990                              0.527        0.000        7.72e-01    
k141_145125                              0.680        0.000        7.52e-01    
k141_145159                              0.667        0.037        2.54e-01    
k141_145439                              0.640        0.018        3.04e-01    
k141_14552                               0.773        0.000        8.15e-01    
k141_145645                              0.713        0.293        1.21e-01    
k141_145718                              0.513        0.009        3.51e-01    
k141_145826                              0.753        0.000        6.43e-01    
k141_145830                              0.653        1.000        1.91e-03    
k141_145914                              0.613        0.000        5.91e-01    
k141_146126                              0.607        0.000        8.06e-01    
k141_146450                              0.800        0.787        2.63e-02    
k141_146500                              0.673        0.000        7.49e-01    
k141_146530                              0.993        0.001        5.39e-01    
k141_146536                              0.933        0.116        1.81e-01    
k141_146582                              0.900        0.402        9.59e-02    
k141_146626                              0.553        0.000        6.54e-01    
k141_146671                              nan          0.360        1.06e-01    
k141_146694                              0.987        0.005        3.93e-01    
k141_146785                              0.753        0.004        4.15e-01    
k141_146834                              0.687        0.038        2.54e-01    
k141_146885                              0.593        0.015        3.13e-01    
k141_146963                              0.727        0.063        2.19e-01    
k141_14723                               0.833        0.000        6.11e-01    
k141_147688                              0.973        0.142        1.68e-01    
k141_147772                              0.933        0.009        3.51e-01    
k141_148006                              0.987        0.978        9.54e-03    
k141_148181                              1.000        0.002        4.67e-01    
k141_148256                              0.967        0.075        2.08e-01    
k141_148296                              0.753        0.004        4.19e-01    
k141_148380                              0.967        0.000        6.75e-01    
k141_148401                              0.647        0.004        4.17e-01    
k141_148553                              0.947        0.000        6.35e-01    
k141_148703                              0.867        0.000        8.72e-01    
k141_148950                              0.773        0.134        1.72e-01    
k141_148956                              0.767        0.506        5.86e-02    
k141_149072                              1.000        0.086        1.99e-01    
k141_149073                              0.687        0.000        7.60e-01    
k141_149085                              1.000        0.063        2.19e-01    
k141_149153                              0.667        0.012        3.33e-01    
k141_149328                              0.747        0.011        3.35e-01    
k141_149368                              1.000        0.018        3.00e-01    
k141_14949                               1.000        0.908        1.72e-02    
k141_149604                              0.520        0.000        7.00e-01    
k141_149671                              1.000        0.916        1.65e-02    
k141_149779                              0.553        0.005        3.89e-01    
k141_149832                              0.807        0.303        1.19e-01    
k141_149901                              0.827        0.032        2.63e-01    
k141_149913                              0.987        0.034        2.61e-01    
k141_149938                              0.980        0.027        2.74e-01    
k141_149947                              1.000        0.003        4.31e-01    
k141_150186                              nan          0.425        9.05e-02    
k141_150200                              0.673        0.016        3.12e-01    
k141_150247                              0.773        0.244        1.34e-01    
k141_1504                                0.533        0.170        1.57e-01    
k141_150438                              0.987        0.073        2.10e-01    
k141_150777                              0.987        0.408        9.42e-02    
k141_150852                              0.667        0.000        6.22e-01    
k141_150969                              nan          0.609        4.14e-02    
k141_151439                              0.913        0.211        1.44e-01    
k141_151558                              0.987        0.216        1.41e-01    
k141_151743                              0.853        0.142        1.68e-01    
k141_151768                              0.947        0.996        5.82e-03    
k141_151842                              0.987        0.000        6.29e-01    
k141_151871                              0.660        0.077        2.06e-01    
k141_151965                              0.993        0.001        4.91e-01    
k141_15201                               0.880        0.377        1.02e-01    
k141_152141                              nan          0.382        1.01e-01    
k141_152151                              0.740        0.004        4.03e-01    
k141_152165                              0.753        0.004        4.01e-01    
k141_152462                              0.753        0.010        3.46e-01    
k141_152500                              0.760        0.056        2.28e-01    
k141_152631                              0.847        0.001        4.87e-01    
k141_152729                              0.880        0.083        2.01e-01    
k141_152819                              0.807        0.001        5.22e-01    
k141_152952                              0.987        0.784        2.66e-02    
k141_152967                              0.993        0.381        1.01e-01    
k141_152975                              0.720        0.967        1.14e-02    
k141_153050                              0.887        0.000        5.80e-01    
k141_153059                              0.993        0.936        1.50e-02    
k141_153220                              0.847        0.000        9.15e-01    
k141_153326                              0.980        0.420        9.19e-02    
k141_153385                              0.987        0.994        6.44e-03    
k141_153410                              0.887        0.000        7.49e-01    
k141_153457                              0.940        0.001        5.04e-01    
k141_153628                              0.500        0.001        5.13e-01    
k141_153808                              0.640        0.000        8.22e-01    
k141_153833                              0.893        0.373        1.03e-01    
k141_153854                              0.720        0.002        4.73e-01    
k141_153857                              nan          0.177        1.55e-01    
k141_154098                              0.973        0.000        6.14e-01    
k141_154536                              0.813        0.024        2.84e-01    
k141_154543                              0.813        0.430        8.92e-02    
k141_154549                              0.513        0.000        9.15e-01    
k141_154611                              0.947        0.006        3.83e-01    
k141_154640                              0.867        0.009        3.52e-01    
k141_154691                              nan          0.108        1.85e-01    
k141_154737                              0.987        0.000        8.15e-01    
k141_154833                              0.507        0.705        3.26e-02    
k141_154838                              0.840        0.000        5.63e-01    
k141_154853                              nan          0.760        2.87e-02    
k141_15487                               0.740        0.015        3.14e-01    
k141_154954                              0.780        0.060        2.23e-01    
k141_155045                              0.667        0.000        7.71e-01    
k141_155199                              0.833        0.028        2.72e-01    
k141_155228                              0.860        0.446        8.45e-02    
k141_155354                              0.967        0.009        3.53e-01    
k141_155381                              1.000        0.000        5.72e-01    
k141_155443                              0.527        0.001        4.89e-01    
k141_155612                              1.000        0.651        3.70e-02    
k141_15568                               0.640        0.016        3.10e-01    
k141_155760                              0.727        0.015        3.16e-01    
k141_155770                              0.987        0.178        1.54e-01    
k141_155826                              0.973        0.000        5.70e-01    
k141_155935                              1.000        0.000        6.38e-01    
k141_156172                              0.920        0.275        1.26e-01    
k141_156448                              0.713        0.054        2.30e-01    
k141_156651                              0.953        0.147        1.66e-01    
k141_156682                              0.967        0.034        2.59e-01    
k141_156733                              0.547        0.000        7.82e-01    
k141_156828                              0.967        0.068        2.14e-01    
k141_156833                              0.647        0.004        4.04e-01    
k141_15686                               0.680        0.086        1.99e-01    
k141_156991                              0.853        0.001        4.95e-01    
k141_157044                              nan          0.442        8.58e-02    
k141_157217                              0.607        0.583        4.42e-02    
k141_157354                              1.000        0.846        2.19e-02    
k141_157368                              0.953        0.005        3.87e-01    
k141_157426                              0.693        0.005        3.99e-01    
k141_157438                              0.973        0.010        3.47e-01    
k141_157455                              0.680        0.000        6.65e-01    
k141_157540                              0.567        0.006        3.85e-01    
k141_157633                              0.980        0.752        2.91e-02    
k141_157645                              0.927        0.015        3.15e-01    
k141_157664                              0.613        0.391        9.87e-02    
k141_157975                              0.847        0.001        4.92e-01    
k141_158068                              1.000        0.496        6.61e-02    
k141_158181                              0.580        0.105        1.87e-01    
k141_158231                              0.960        0.972        1.05e-02    
k141_158237                              0.587        0.000        8.82e-01    
k141_158242                              nan          0.002        4.71e-01    
k141_158391                              0.700        0.449        8.38e-02    
k141_15841                               0.840        0.039        2.51e-01    
k141_15852                               0.947        0.000        6.62e-01    
k141_158638                              0.913        0.002        4.75e-01    
k141_158655                              0.987        0.049        2.36e-01    
k141_15866                               0.613        0.000        9.86e-01    
k141_158789                              0.680        0.019        2.97e-01    
k141_159118                              1.000        0.000        7.87e-01    
k141_159238                              0.840        0.247        1.33e-01    
k141_15924                               0.840        0.196        1.48e-01    
k141_15934                               0.960        0.544        5.00e-02    
k141_159398                              0.820        0.002        4.44e-01    
k141_159481                              0.927        0.504        5.94e-02    
k141_159503                              0.993        1.000        2.38e-03    
k141_159833                              0.987        0.499        6.42e-02    
k141_159888                              0.880        0.321        1.14e-01    
k141_160004                              0.987        0.326        1.13e-01    
